timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
9232248000,0.00038953367,0.0031859162,0.0013687965,1
9232448000,0.00038953367,0.0031859162,0.0013687965,1
9232648000,0.00038953367,0.0031859162,0.0013687965,1
9232848000,0.00038953367,0.0031859162,0.0013687965,1
9233048000,0.00038953367,0.0031859162,0.0013687965,1
9233248000,0.00038953367,0.0031859162,0.0013687965,1
9233448000,0.00038953367,0.0031859162,0.0013687965,1
9577048000,0.00038953367,0.0031859162,0.0013687965,1
9577248000,0.00038953367,0.0031859162,0.0013687965,1
9577448000,0.00038953367,0.0031859162,0.0013687965,1
9577648000,0.00038953367,0.0031859162,0.0013687965,1
9577848000,0.00038953367,0.0031859162,0.0013687965,1
